pos_team,posteam_home,posteam_away,def_team,score_differential,yardline_100,half_seconds_remaining,qtr,down,ydstogo,normal_first_down,first_and_short,first_and_long,second_and_short,second_and_medium,second_and_long,third_and_short,third_and_medium,third_and_long,in_redzone,is_two_minute_drill,is_goal_to_go,curr_drive_length,play_type,play_length
ATL,0,1,MIN,0.0,83.0,1760.0,1,2.0,18,0,0,0,0,0,1,0,0,0,0,0,0,-8.0,run,4.0
ATL,0,1,MIN,0.0,79.0,1721.0,1,3.0,14,0,0,0,0,0,0,0,0,1,0,0,0,-4.0,run,12.0
MIN,1,0,ATL,0.0,31.0,1652.0,1,1.0,20,0,0,1,0,0,0,0,0,0,0,0,0,-10.0,pass,1.0
MIN,1,0,ATL,0.0,23.0,1617.0,1,2.0,12,0,0,0,0,0,1,0,0,0,0,0,0,-2.0,pass,11.0
ATL,0,1,MIN,-7.0,84.0,1604.0,1,1.0,10,1,0,0,0,0,0,0,0,0,0,0,0,0.0,run,4.0
ATL,0,1,MIN,-7.0,80.0,1564.0,1,2.0,6,0,0,0,0,1,0,0,0,0,0,0,0,4.0,run,3.0
ATL,0,1,MIN,-7.0,72.0,1502.0,1,1.0,10,1,0,0,0,0,0,0,0,0,0,0,0,12.0,pass,13.0
MIN,1,0,ATL,7.0,41.0,1495.0,1,1.0,10,1,0,0,0,0,0,0,0,0,0,0,0,0.0,pass,1.0
MIN,1,0,ATL,7.0,40.0,1457.0,1,2.0,9,0,0,0,0,0,1,0,0,0,0,0,0,1.0,run,21.0
MIN,1,0,ATL,7.0,19.0,1411.0,1,1.0,10,1,0,0,0,0,0,0,0,0,1,0,0,22.0,pass,-9.0
MIN,1,0,ATL,7.0,19.0,1408.0,1,2.0,10,0,0,0,0,0,1,0,0,0,1,0,0,22.0,run,19.0
ATL,0,1,MIN,-14.0,75.0,1402.0,1,1.0,10,1,0,0,0,0,0,0,0,0,0,0,0,0.0,run,2.0
ATL,0,1,MIN,-14.0,65.0,1308.0,1,1.0,10,1,0,0,0,0,0,0,0,0,0,0,0,10.0,pass,15.0
